NO_DISTRITO,CO_DISTRITO
Alta Floresta D'Oeste,110001505
Filadélfia d'Oeste,110001515
Izidolândia,110001520
Nova Gease d'Oeste,110001525
Rolim de Moura do Guaporé,110001530
Ariquemes,110002305
Cabixi,110003105
Cacoal,110004905
Riozinho,110004910
Divinópolis,110004915
Cerejeiras,110005605
Colorado do Oeste,110006405
Corumbiara,110007205
Costa Marques,110008005
Real Forte Príncipe da Beira,110008015
Espigão D'Oeste,110009805
Boa Vista do Pacarana,110009810
Novo Paraíso,110009812
Flor da Serra,110009815
Nova Esperança,110009818
Guajará-Mirim,110010605
Iata,110010612
Surpresa,110010622
Jaru,110011405
Bom Jesus,110011410
Santa Cruz da Serra,110011420
Tarilândia,110011425
Ji-Paraná,110012205
Nova Colina,110012220
Nova Londrina,110012225
Machadinho D'Oeste,110013005
Oriente Novo,110013015
Quinto BEC,110013020
Nova Brasilândia D'Oeste,110014805
Ouro Preto do Oeste,110015505
Rondominas,110015525
Pimenta Bueno,110018905
Itaporanga,110018920
Porto Velho,110020505
Abunã,110020510
Calama,110020515
Demarcação,110020516
Extrema,110020517
Fortaleza do Abunã,110020518
Jaci Paraná,110020520
Mutum Paraná,110020525
Nazaré,110020530
Nova Califórnia,110020535
São Carlos,110020540
Vista Alegre do Abunã,110020545
Presidente Médici,110025405
Estrela de Rondônia,110025415
Novo Riachuelo,110025420
Vila Bandeira Branca,110025425
Rio Crespo,110026205
Rolim de Moura,110028805
Santa Luzia D'Oeste,110029605
Vilhena,110030405
São Miguel do Guaporé,110032005
Santana do Guaporé,110032020
Nova Mamoré,110033805
Araras,110033810
Jacynópolis,110033812
Nova Dimensão,110033815
Palmeiras,110033820
Nova Marechal Rondon,110033825
Alvorada D'Oeste,110034605
Tancredópolis,110034625
Terra Boa,110034630
Alto Alegre dos Parecis,110037905
Alto Paraíso,110040305
Buritis,110045205
Novo Horizonte do Oeste,110050205
Migrantinópolis,110050210
Cacaulândia,110060105
Campo Novo de Rondônia,110070005
Candeias do Jamari,110080905
Castanheiras,110090805
Chupinguaia,110092405
Cujubim,110094005
Governador Jorge Teixeira,110100505
Colina Verde,110100515
Itapuã do Oeste,110110405
Ministro Andreazza,110120305
Mirante da Serra,110130205
Monte Negro,110140105
Nova União,110143505
Parecis,110145005
Pimenteiras do Oeste,110146805
Primavera de Rondônia,110147605
São Felipe D'Oeste,110148405
São Francisco do Guaporé,110149205
Seringueiras,110150005
Teixeirópolis,110155905
Theobroma,110160905
Urupá,110170805
Vale do Anari,110175705
Vale do Paraíso,110180705
Acrelândia,120001305
Assis Brasil,120005405
Brasiléia,120010405
Bujari,120013805
Capixaba,120017905
Cruzeiro do Sul,120020305
Epitaciolândia,120025205
Feijó,120030205
Jordão,120032805
Mâncio Lima,120033605
Manoel Urbano,120034405
Marechal Thaumaturgo,120035105
Plácido de Castro,120038505
Campinas,120038510
Porto Walter,120039305
Rio Branco,120040105
Rodrigues Alves,120042705
Santa Rosa do Purus,120043505
Senador Guiomard,120045005
Sena Madureira,120050005
Tarauacá,120060905
Xapuri,120070805
Porto Acre,120080705
Vila do Caquetá,120080720
Vila do Incra,120080723
Vila do V,120080725
Alvarães,130002905
Amaturá,130006005
Anamã,130008605
Anori,130010205
Apuí,130014405
Sucunduri,130014410
Atalaia do Norte,130020105
Autazes,130030005
Barcelos,130040905
Barreirinha,130050805
Ariaú,130050810
Freguesia do Andirá,130050815
Pedras,130050820
Benjamin Constant,130060705
Beruri,130063105
Boa Vista do Ramos,130068005
Lago Preto,130068010
Massauari,130068015
Boca do Acre,130070605
Borba,130080505
Canumã,130080520
Axinin,130080525
Caapiranga,130083905
Canutama,130090405
Carauari,130100105
Careiro,130110005
Purupuru,130110010
Janauacá,130110015
Careiro da Várzea,130115905
Coari,130120905
Codajás,130130805
Badajós,130130810
Eirunepé,130140705
Envira,130150605
Fonte Boa,130160505
Guajará,130165405
Humaitá,130170405
Ipixuna,130180305
Iranduba,130185205
Ariaú,130185210
Cacau Pirêra,130185215
Lago do Limão,130185220
Itacoatiara,130190205
Amatari,130190210
Itamarati,130195105
Itapiranga,130200905
Japurá,130210805
Juruá,130220705
Jutaí,130230605
Lábrea,130240505
Manacapuru,130250405
Manaquiri,130255305
Manaus,130260305
Manicoré,130270205
Maraã,130280105
Maués,130290005
Osório da Fonseca,130290010
Repartimento,130290015
Nhamundá,130300705
Nova Olinda do Norte,130310605
Novo Airão,130320505
Novo Aripuanã,130330405
Parintins,130340305
Mocambo,130340310
Pauini,130350205
Presidente Figueiredo,130353605
Balbina,130353610
Rio Preto da Eva,130356905
Santa Isabel do Rio Negro,130360105
Santo Antônio do Içá,130370005
Alterosa,130370015
São Gabriel da Cachoeira,130380905
Cucui,130380912
Içana,130380915
São Paulo de Olivença,130390805
Santa Rita,130390815
São Sebastião do Uatumã,130395705
Santana,130395710
Silves,130400505
Tabatinga,130406205
Tapauá,130410405
Tefé,130420305
Tonantins,130423705
Uarini,130426005
Urucará,130430205
Urucurituba,130440105
Augusto Montenegro,130440110
Itapeaçú,130440115
Amajari,140002705
Alto Alegre,140005005
Boa Vista,140010005
Bonfim,140015905
Cantá,140017505
Caracaraí,140020905
Caroebe,140023305
Iracema,140028205
Mucajaí,140030805
Normandia,140040705
Pacaraima,140045605
Rorainópolis,140047205
São João da Baliza,140050605
São Luiz,140060505
Uiramutã,140070405
Abaetetuba,150010705
Beja,150010710
Abel Figueiredo,150013105
Acará,150020605
Afuá,150030505
Água Azul do Norte,150034705
Alenquer,150040405
Almeirim,150050305
