CO_MESORREGIAO,NO_MESORREGIAO,CO_MICRORREGIAO,NO_MICRORREGIAO
2,Leste Rondoniense,6,Cacoal
2,Leste Rondoniense,3,Ariquemes
2,Leste Rondoniense,8,Colorado do Oeste
1,Madeira-Guaporé,2,Guajará-Mirim
2,Leste Rondoniense,4,Ji-Paraná
2,Leste Rondoniense,5,Alvorada D'Oeste
2,Leste Rondoniense,7,Vilhena
1,Madeira-Guaporé,1,Porto Velho
2,Vale do Acre,4,Rio Branco
2,Vale do Acre,5,Brasiléia
1,Vale do Juruá,1,Cruzeiro do Sul
1,Vale do Juruá,2,Tarauacá
2,Vale do Acre,3,Sena Madureira
3,Centro Amazonense,5,Tefé
2,Sudoeste Amazonense,3,Alto Solimões
3,Centro Amazonense,6,Coari
4,Sul Amazonense,13,Madeira
3,Centro Amazonense,7,Manaus
1,Norte Amazonense,1,Rio Negro
3,Centro Amazonense,10,Parintins
4,Sul Amazonense,11,Boca do Acre
4,Sul Amazonense,12,Purus
2,Sudoeste Amazonense,4,Juruá
3,Centro Amazonense,9,Itacoatiara
1,Norte Amazonense,2,Japurá
3,Centro Amazonense,8,Rio Preto da Eva
1,Norte de Roraima,1,Boa Vista
1,Norte de Roraima,2,Nordeste de Roraima
2,Sul de Roraima,3,Caracaraí
2,Sul de Roraima,4,Sudeste de Roraima
4,Nordeste Paraense,11,Cametá
6,Sudeste Paraense,17,Paragominas
4,Nordeste Paraense,12,Tomé-Açu
2,Marajó,5,Furos de Breves
6,Sudeste Paraense,19,Parauapebas
1,Baixo Amazonas,2,Santarém
1,Baixo Amazonas,3,Almeirim
5,Sudoeste Paraense,15,Altamira
3,Metropolitana de Belém,7,Belém
4,Nordeste Paraense,10,Bragantina
4,Nordeste Paraense,13,Guamá
5,Sudoeste Paraense,14,Itaituba
2,Marajó,4,Portel
6,Sudeste Paraense,18,São Félix do Xingu
6,Sudeste Paraense,20,Marabá
6,Sudeste Paraense,16,Tucuruí
3,Metropolitana de Belém,8,Castanhal
2,Marajó,6,Arari
4,Nordeste Paraense,9,Salgado
6,Sudeste Paraense,22,Conceição do Araguaia
1,Baixo Amazonas,1,Óbidos
6,Sudeste Paraense,21,Redenção
2,Sul do Amapá,3,Macapá
1,Norte do Amapá,2,Amapá
1,Norte do Amapá,1,Oiapoque
2,Sul do Amapá,4,Mazagão
1,Ocidental do Tocantins,3,Miracema do Tocantins
1,Ocidental do Tocantins,1,Bico do Papagaio
1,Ocidental do Tocantins,5,Gurupi
2,Oriental do Tocantins,8,Dianópolis
2,Oriental do Tocantins,6,Porto Nacional
1,Ocidental do Tocantins,2,Araguaína
1,Ocidental do Tocantins,4,Rio Formoso
2,Oriental do Tocantins,7,Jalapão
2,Oeste Maranhense,9,Imperatriz
4,Leste Maranhense,16,Coelho Neto
4,Leste Maranhense,13,Baixo Parnaíba Maranhense
1,Norte Maranhense,1,Litoral Ocidental Maranhense
2,Oeste Maranhense,8,Pindaré
4,Leste Maranhense,15,Codó
5,Sul Maranhense,20,Gerais de Balsas
2,Oeste Maranhense,7,Gurupi
1,Norte Maranhense,5,Baixada Maranhense
4,Leste Maranhense,14,Chapadinha
3,Centro Maranhense,11,Alto Mearim e Grajaú
1,Norte Maranhense,3,Rosário
3,Centro Maranhense,10,Médio Mearim
4,Leste Maranhense,18,Chapadas do Alto Itapecuru
1,Norte Maranhense,4,Lençóis Maranhenses
5,Sul Maranhense,21,Chapadas das Mangabeiras
4,Leste Maranhense,17,Caxias
5,Sul Maranhense,19,Porto Franco
1,Norte Maranhense,6,Itapecuru Mirim
3,Centro Maranhense,12,Presidente Dutra
1,Norte Maranhense,2,Aglomeração Urbana de São Luís
4,Sudeste Piauiense,15,Alto Médio Canindé
2,Centro-Norte Piauiense,5,Médio Parnaíba Piauiense
4,Sudeste Piauiense,14,Pio IX
2,Centro-Norte Piauiense,4,Campo Maior
2,Centro-Norte Piauiense,3,Teresina
3,Sudoeste Piauiense,10,Alto Médio Gurguéia
3,Sudoeste Piauiense,11,São Raimundo Nonato
3,Sudoeste Piauiense,8,Bertolínia
2,Centro-Norte Piauiense,6,Valença do Piauí
4,Sudeste Piauiense,13,Picos
3,Sudoeste Piauiense,12,Chapadas do Extremo Sul Piauiense
3,Sudoeste Piauiense,7,Alto Parnaíba Piauiense
1,Norte Piauiense,1,Baixo Parnaíba Piauiense
1,Norte Piauiense,2,Litoral Piauiense
3,Sudoeste Piauiense,9,Floriano
7,Sul Cearense,33,Brejo Santo
2,Norte Cearense,13,Baturité
1,Noroeste Cearense,1,Litoral de Camocim e Acaraú
4,Sertões Cearenses,21,Sertão de Senador Pompeu
4,Sertões Cearenses,20,Sertão de Inhamuns
1,Noroeste Cearense,4,Meruoca
7,Sul Cearense,30,Caririaçu
5,Jaguaribe,23,Baixo Jaguaribe
2,Norte Cearense,8,Itapipoca
6,Centro-Sul Cearense,27,Várzea Alegre
2,Norte Cearense,11,Médio Curu
3,Metropolitana de Fortaleza,16,Fortaleza
5,Jaguaribe,22,Litoral de Aracati
4,Sertões Cearenses,18,Sertão de Cratéus
7,Sul Cearense,29,Chapada do Araripe
7,Sul Cearense,31,Barro
6,Centro-Sul Cearense,28,Lavras da Mangabeira
4,Sertões Cearenses,19,Sertão de Quixeramobim
7,Sul Cearense,32,Cariri
2,Norte Cearense,14,Chorozinho
2,Norte Cearense,15,Cascavel
2,Norte Cearense,12,Canindé
1,Noroeste Cearense,5,Sobral
1,Noroeste Cearense,2,Ibiapaba
1,Noroeste Cearense,7,Santa Quitéria
6,Centro-Sul Cearense,26,Iguatu
1,Noroeste Cearense,3,Coreaú
5,Jaguaribe,25,Serra do Pereiro
3,Metropolitana de Fortaleza,17,Pacajus
1,Noroeste Cearense,6,Ipu
2,Norte Cearense,10,Uruburetama
5,Jaguaribe,24,Médio Jaguaribe
2,Norte Cearense,9,Baixo Curu
2,Central Potiguar,12,Seridó Oriental
1,Oeste Potiguar,4,Vale do Açu
2,Central Potiguar,9,Angicos
1,Oeste Potiguar,5,Serra de São Miguel
1,Oeste Potiguar,6,Pau dos Ferros
1,Oeste Potiguar,7,Umarizal
1,Oeste Potiguar,2,Chapada do Apodi
1,Oeste Potiguar,1,Mossoró
4,Leste Potiguar,19,Litoral Sul
1,Oeste Potiguar,3,Médio Oeste
3,Agreste Potiguar,14,Borborema Potiguar
3,Agreste Potiguar,13,Baixa Verde
2,Central Potiguar,10,Serra de Santana
3,Agreste Potiguar,15,Agreste Potiguar
2,Central Potiguar,8,Macau
2,Central Potiguar,11,Seridó Ocidental
4,Leste Potiguar,17,Macaíba
4,Leste Potiguar,18,Natal
4,Leste Potiguar,16,Litoral Nordeste
1,Sertão Paraibano,7,Serra do Teixeira
1,Sertão Paraibano,5,Piancó
3,Agreste Paraibano,15,Brejo Paraibano
3,Agreste Paraibano,16,Guarabira
2,Borborema,11,Cariri Oriental
3,Agreste Paraibano,12,Curimataú Ocidental
4,Mata Paraibana,23,Litoral Sul
1,Sertão Paraibano,2,Cajazeiras
2,Borborema,10,Cariri Ocidental
1,Sertão Paraibano,3,Sousa
3,Agreste Paraibano,13,Curimataú Oriental
1,Sertão Paraibano,4,Patos
3,Agreste Paraibano,14,Esperança
3,Agreste Paraibano,19,Umbuzeiro
4,Mata Paraibana,20,Litoral Norte
2,Borborema,9,Seridó Oriental Paraibano
4,Mata Paraibana,22,João Pessoa
1,Sertão Paraibano,1,Catolé do Rocha
1,Sertão Paraibano,6,Itaporanga
3,Agreste Paraibano,17,Campina Grande
3,Agreste Paraibano,18,Itabaiana
4,Mata Paraibana,21,Sapé
2,Borborema,8,Seridó Ocidental Paraibano
5,Metropolitana de Recife,17,Recife
1,Sertão Pernambucano,3,Pajeú
2,São Francisco Pernambucano,5,Petrolina
3,Agreste Pernambucano,12,Brejo Pernambucano
4,Mata Pernambucana,15,Mata Meridional Pernambucana
3,Agreste Pernambucano,7,Vale do Ipanema
3,Agreste Pernambucano,8,Vale do Ipojuca
4,Mata Pernambucana,13,Mata Setentrional Pernambucana
3,Agreste Pernambucano,11,Garanhuns
5,Metropolitana de Recife,16,Itamaracá
1,Sertão Pernambucano,1,Araripina
1,Sertão Pernambucano,4,Sertão do Moxotó
2,São Francisco Pernambucano,6,Itaparica
3,Agreste Pernambucano,10,Médio Capibaribe
5,Metropolitana de Recife,18,Suape
3,Agreste Pernambucano,9,Alto Capibaribe
1,Sertão Pernambucano,2,Salgueiro
4,Mata Pernambucana,14,Vitória de Santo Antão
5,Metropolitana de Recife,19,Fernando de Noronha
1,Sertão Alagoano,1,Serrana do Sertão Alagoano
3,Leste Alagoano,12,São Miguel dos Campos
2,Agreste Alagoano,6,Arapiraca
3,Leste Alagoano,9,Mata Alagoana
3,Leste Alagoano,11,Maceió
1,Sertão Alagoano,4,Batalha
2,Agreste Alagoano,5,Palmeira dos Índios
1,Sertão Alagoano,3,Santana do Ipanema
3,Leste Alagoano,8,Serrana dos Quilombos
1,Sertão Alagoano,2,Alagoana do Sertão do São Francisco
3,Leste Alagoano,13,Penedo
3,Leste Alagoano,10,Litoral Norte Alagoano
2,Agreste Alagoano,7,Traipu
3,Leste Sergipano,7,Propriá
2,Agreste Sergipano,3,Nossa Senhora das Dores
3,Leste Sergipano,11,Aracaju
3,Leste Sergipano,12,Boquim
2,Agreste Sergipano,4,Agreste de Itabaiana
1,Sertão Sergipano,1,Sergipana do Sertão do São Francisco
3,Leste Sergipano,8,Cotinguiba
1,Sertão Sergipano,2,Carira
3,Leste Sergipano,10,Baixo Cotinguiba
3,Leste Sergipano,13,Estância
3,Leste Sergipano,9,Japaratuba
2,Agreste Sergipano,6,Agreste de Lagarto
2,Agreste Sergipano,5,Tobias Barreto
6,Centro Sul Baiano,23,Seabra
2,Vale São-Franciscano da Bahia,5,Paulo Afonso
4,Nordeste Baiano,17,Alagoinhas
4,Nordeste Baiano,15,Ribeira do Pombal
3,Centro Norte Baiano,12,Feira de Santana
6,Centro Sul Baiano,25,Livramento do Brumado
6,Centro Sul Baiano,24,Jequié
7,Sul Baiano,32,Porto Seguro
7,Sul Baiano,31,Ilhéus-Itabuna
5,Metropolitana de Salvador,19,Catu
3,Centro Norte Baiano,9,Irecê
6,Centro Sul Baiano,28,Vitória da Conquista
3,Centro Norte Baiano,8,Senhor do Bonfim
1,Extremo Oeste Baiano,2,Cotegipe
6,Centro Sul Baiano,27,Brumado
4,Nordeste Baiano,16,Serrinha
5,Metropolitana de Salvador,20,Santo Antônio de Jesus
1,Extremo Oeste Baiano,1,Barreiras
3,Centro Norte Baiano,11,Itaberaba
2,Vale São-Franciscano da Bahia,6,Barra
2,Vale São-Franciscano da Bahia,7,Bom Jesus da Lapa
6,Centro Sul Baiano,22,Boquira
6,Centro Sul Baiano,26,Guanambi
3,Centro Norte Baiano,10,Jacobina
7,Sul Baiano,30,Valença
5,Metropolitana de Salvador,21,Salvador
2,Vale São-Franciscano da Bahia,4,Juazeiro
1,Extremo Oeste Baiano,3,Santa Maria da Vitória
4,Nordeste Baiano,14,Euclides da Cunha
4,Nordeste Baiano,18,Entre Rios
4,Nordeste Baiano,13,Jeremoabo
6,Centro Sul Baiano,29,Itapetinga
5,Triângulo Mineiro/Alto Paranaíba,19,Patrocínio
6,Central Mineira,24,Três Marias
12,Zona da Mata,61,Manhuaçu
12,Zona da Mata,60,Ponte Nova
8,Vale do Rio Doce,39,Ipatinga
8,Vale do Rio Doce,36,Peçanha
5,Triângulo Mineiro/Alto Paranaíba,22,Uberaba
9,Oeste de Minas,45,Campo Belo
4,Vale do Mucuri,16,Nanuque
2,Norte de Minas,5,Salinas
8,Vale do Rio Doce,41,Aimorés
10,Sul/Sudoeste de Minas,55,Andrelândia
10,Sul/Sudoeste de Minas,54,São Lourenço
10,Sul/Sudoeste de Minas,51,Poços de Caldas
12,Zona da Mata,66,Cataguases
10,Sul/Sudoeste de Minas,49,Alfenas
11,Campo das Vertentes,59,Barbacena
3,Jequitinhonha,14,Almenara
