CO_REGIAO_GEOG_INTERM,NO_REGIAO_GEOG_INTERM,CO_REGIAO_GEOG_IMED,NO_REGIAO_GEOG_IMED
1102,Ji-Paraná,110005,Cacoal
1101,Porto Velho,110002,Ariquemes
1102,Ji-Paraná,110006,Vilhena
1102,Ji-Paraná,110004,Ji-Paraná
1101,Porto Velho,110001,Porto Velho
1101,Porto Velho,110003,Jaru
1201,Rio Branco,120001,Rio Branco
1201,Rio Branco,120002,Brasiléia
1202,Cruzeiro do Sul,120004,Cruzeiro do Sul
1202,Cruzeiro do Sul,120005,Tarauacá
1201,Rio Branco,120003,Sena Madureira
1302,Tefé,130005,Tefé
1302,Tefé,130006,Tabatinga
1301,Manaus,130004,Manacapuru
1301,Manaus,130003,Coari
1303,Lábrea,130009,Manicoré
1301,Manaus,130001,Manaus
1301,Manaus,130002,São Gabriel da Cachoeira
1304,Parintins,130010,Parintins
1303,Lábrea,130008,Lábrea
1302,Tefé,130007,Eirunepé
1304,Parintins,130011,Itacoatiara
1401,Boa Vista,140002,Pacaraima
1401,Boa Vista,140001,Boa Vista
1402,Rorainópolis - Caracaraí,140004,Caracaraí
1402,Rorainópolis - Caracaraí,140003,Rorainópolis
1501,Belém,150003,Abaetetuba
1503,Marabá,150009,Marabá
1501,Belém,150001,Belém
1507,Breves,150020,Breves
1504,Redenção,150014,Xinguara
1505,Santarém,150015,Santarém
1506,Altamira,150019,Almeirim - Porto de Moz
1506,Altamira,150018,Altamira
1502,Castanhal,150005,Bragança
1502,Castanhal,150007,Paragominas
1505,Santarém,150016,Itaituba
1503,Marabá,150011,Tucuruí
1504,Redenção,150012,Redenção
1502,Castanhal,150006,Capanema
1507,Breves,150021,Soure-Salvaterra
1501,Belém,150002,Cametá
1503,Marabá,150010,Parauapebas
1502,Castanhal,150008,Capitão Poço
1502,Castanhal,150004,Castanhal
1505,Santarém,150017,Oriximiná
1504,Redenção,150013,Tucumã - São Félix do Xingu
1602,Oiapoque - Porto Grande,160004,Porto Grande
1602,Oiapoque - Porto Grande,160003,Oiapoque
1601,Macapá,160001,Macapá
1601,Macapá,160002,Laranjal do Jari
1701,Palmas,170003,Paraíso do Tocantins
1702,Araguaína,170008,Tocantinópolis
